timestamp,building_id,floor_area_m2,occupants_est,insulation_factor,heating_efficiency,temperature_C,humidity_pct,wind_speed_m_s,solar_radiation_W_m2,precipitation_mm,is_holiday,day_of_week,hour_of_day,is_weekend,heating_setpoint_C,cooling_setpoint_C,energy_consumption_kwh,prev_24h_energy_kwh
2024-01-01 00:00:00,B001,1600,2,0.71,0.895,16.77,80.7,2.39,0.0,0.0,1,0,0,0,20,26,28.965,28.965
2024-01-01 01:00:00,B001,1600,3,0.71,0.895,17.9,67.2,2.7,0.0,0.0,1,0,1,0,20,26,27.467,28.965
2024-01-01 02:00:00,B001,1600,2,0.71,0.895,22.28,76.4,0.43,0.0,0.182,1,0,2,0,18,26,25.459,28.216
2024-01-01 03:00:00,B001,1600,3,0.71,0.895,21.77,68.2,1.58,0.0,0.0,1,0,3,0,18,26,25.939,27.296999999999997
2024-01-01 04:00:00,B001,1600,3,0.71,0.895,23.29,64.5,1.87,0.0,0.143,1,0,4,0,18,26,26.069,26.9575
2024-01-01 05:00:00,B001,1600,2,0.71,0.895,25.07,61.9,2.46,0.0,0.0,1,0,5,0,18,24,26.4,26.7798
2024-01-01 06:00:00,B001,1600,2,0.71,0.895,24.09,67.9,2.06,0.0,0.0,1,0,6,0,18,24,25.448,26.7165
2024-01-01 07:00:00,B001,1600,3,0.71,0.895,23.52,55.2,4.33,124.55,0.0,1,0,7,0,18,26,25.885,26.535285714285713
2024-01-01 08:00:00,B001,1600,6,0.71,0.895,19.78,49.8,2.71,240.69,0.0,1,0,8,0,18,26,25.533,26.454
2024-01-01 09:00:00,B001,1600,6,0.71,0.895,23.42,55.8,2.53,340.51,0.0,1,0,9,0,18,26,25.449,26.351666666666667
2024-01-01 10:00:00,B001,1600,5,0.71,0.895,26.13,56.7,2.62,417.18,0.0,1,0,10,0,18,24,26.822,26.2614
2024-01-01 11:00:00,B001,1600,5,0.71,0.895,22.76,41.0,0.86,465.47,0.0,1,0,11,0,18,26,25.468,26.312363636363635
2024-01-01 12:00:00,B001,1600,6,0.71,0.895,22.46,45.5,3.07,482.07,0.0,1,0,12,0,18,26,25.761,26.242
2024-01-01 13:00:00,B001,1600,6,0.71,0.895,22.74,45.9,2.37,465.81,0.0,1,0,13,0,18,26,25.71,26.205000000000002
2024-01-01 14:00:00,B001,1600,6,0.71,0.895,21.43,60.0,3.05,417.78,0.0,1,0,14,0,18,26,25.563,26.169642857142858
2024-01-01 15:00:00,B001,1600,5,0.71,0.895,16.72,55.3,3.38,341.24,0.0,1,0,15,0,20,26,28.854,26.1292
2024-01-01 16:00:00,B001,1600,6,0.71,0.895,18.31,50.2,2.68,241.38,0.0,1,0,16,0,18,26,26.165,26.2995
